text,label
આ બધાનો સજા મળવી જોઈએ,1
આ રીતે ભડવા પાર્ટી વાળા ને પકડે તો માં ફાડી નાખે,1
પોલીસ સામે કાયદો ઘડવો જોઈએસામુહિક પિટિશન નાખો કોર્ટમાંબાકી આવા પોલીસ વારા દેશને પાછું ગુલામ બનાવી દેશેપબ્લિક પોલિસ સામે ગુનો દાખલ પણ કરે તો ફેંસલો આવતા વર્ષો લાગી જાય છેપોલીસ પબ્લિકને ગુલામ જ સમજે છેમન ફાવે એમ ગારો બોલવાની અને અન ફાવે એમ મારવાના,1
"કાયદો બનાવવાની કોઈ જરૂરત નથી
કાઢ્યા વગર પણ નેતાઓ નું કોઈ કશું બગાડી શકતું નથી",1
દરેક નાગરિકે  કરવીજ જોઈએ જેથી અધિકારી જવાબ આપી આપી થાકી જાય,0
પોલીસ સ્ટેશન માં શકમદો પાસે ગુન્હો કબુલાવવા માટે અને તપાસવાનાં બહાના બતાવીને તેમના કપડાં કાઢી ને માર ખોટી રીતે ઢોર મારવામાં આવે ત્યારે પોલીસ ને એ નિયમો લાગતા નથી,0
મોટી મોટી રહેવાદયો તેલ ગેસ પેટ્રોલ ડીજલની મોઘાઈ નુ કરો મજુર નાના માણસની વાત સાભલો રાજકારણ રહેવા દ્યો ખુરસી માટે ખેલ છોડીદયો ભગવાન તમનેતો પુસસે તમારા પરીવારનેય પુસસે ભૂલહસે તો બદલો પણલેસે,0
"ગાંધીનગરના તમામ સેક્ટરો રેઢીયાળ ગાયો સૌથી વધારે છે, ઘણી ગાયો પ્લાસ્ટિક ખાઈ ખાઈને પેટ ફાટી જાય તેવા ફુલાઈ ગયા છે, આ ગાયોને ગૃહ મંત્રીની ગ્રાન્ટમાથી અને રાજ્ય સરકાર દ્વારા ઘાસચારો મળી જાય તો ખુબ સારૂં કેવાય, જેથી ઘણી ગાયોનાં જીવ બચી શકે છે
🐂🐄🐮",0
બોડર ઉપર સૈનિક સહિદ થાય છે તો એને ખાલી સલામ આપેછે એ લોકોના ધર વારા ને ઈનામ આપો,0
મોદી પોતે જ ગુનાહિત છે,1
જનની જણ તો ભક્ત જણ કા સૂરા કે વિર નહીતર રહેજે વાંઝણી તારું મત ગુમાવીસ નૂર,1
  પબ્લીક ઓછુ કરવાનુ ભાજપનુ કાવતરૂ છે,1
આ કાયદો ગૌચર જમીનો ના દબાણ હટાવવા માટે ઉપયોગ થાય તો બહુ સારૂ,0
ચૂંટણી આવે ત્યારે અને ત્યાં જ આતંકીઓ મળી આવે છે,1
અરે પણ ચોયદાઓ ધરે થી બધું લઈને ને નીકળો ને  પછી ત્યાં ચો તમારે ગાડ મરાવાની થાય હે,1
"હવે,બાપુ રહેવાદો ઊતરતા કાળે બિલાડી ન મરાય ",0
"ચૂંટણી ફંડ એકઠું કરવાની કોઈ સ્કીમ લાગે છે મને
ઘણી સુંદર રાજ રમત",1
"ગાળો આપેદને રૂપિયા ના હપ્તાલેતા હોવાછતાય
ગરીબ માણસોને વેપાર ન કરવા દેય પાછુ ઘરમાટે મફતપણ લઇજાવુ અને ધંધોય નકરવાદે
શુકામે ગરીબ માણસને તકલીફ આપો",0
"મોદી જી આ ચા વેચી ને રોજગાર કમાવાનું કીધું આ ભાઈ સાયકલ લાયી ને રોજગાર કમાવાનું બતાવે છે, જો દિખતા હે વો હોતા નહિ , જો હોતા હે વો દિખતા નહિ",0
ગઝબ ટોપીબાઝ આદમી હૈ 😂😂😂,0
આ બાંડિયાઓ માં આજ મગજ મારી વર્ષે પણ છુટા પડી જાય 😠💔,1
અને ભાઈ કોઈ પાર્ટી કરતા દેશ ને આગળ રાખો એટલે આ બધી પ્રોબ્લેમ છે એ નઈ હોય,0
 વાળા ને મોબાઈલ રાખવાની પણ મનાઈ છે તો પણ પેલો વીડિયો માં જુઓ ગળા માં - નાખી ને વાતો કરે છે,1
  બધી ગોદી મીડિયા મોદી સરકાર ની દલાલી કરે છે તે નથી દેખાતું,1
માસ્ક સ્વેચ્છાએ પોતાની અને પોતાના પરિવારના ભલા માટે બાંધવું બહું જરૂરી છે ચેતતા નર સદા સુખી,0
"ભારત નાં કરેલા કર્મ ભોગવવા પડે વિદેશમાં પણ ભોગવવા પડે, ન્યુયોર્ક ટાઇમ્સ નાં સમાચાર મુજબ ભારતીય મહિલા ઉપર ધોરીયાઓ ટ્રેનમાં મુસાફરી દરમ્યાન જાહેર માં મુત્ર એ છે,",1
ઇસુરદાન તમે પત્રકાર હતા ત્યારે સેવા કરતા હતા હવે તમારાથી ખોટા કામ જ થાસે કારણકે કેજરીવાલ મુસ્લિમ પરસત માણસ છે,1
એક પત્રકારે હિંમત બતાવી અને પોલીસને કાયદાની મર્યાદા માં કામ કરવા માટે જણાવતા તે પત્રકારને પણ માર મારીને ધરપકડ કરવામાં આવી વાહ રે અમારા રક્ષકો,1
રસ્તાઓ ની ખુબ તકલીફો છે સાહેબ તેની માટે કોઇ સારો કાયદો થાય તો સીધા સાદા માણસો ની રોજગારી છુટી થાય,0
"આવી પોસ્ટ કરવાની યોગ્ય છે ખરી આ ભારતનાં સંરક્ષણ નો છે તમને એ આપવાનો કોઇ અધિકાર નથી એ સમજો આની બ
ભારત સરકારે તપાસ કરવી જોઈએ કે બીબીસી પોતાની હદ કરતા ભારતની આંતરિક બાબતોનો શોશયલ મીડીયા ઉપર લોકોને ભડકાવતી કાયદાનું ઉલ્લંઘન કરી ને આ વિદેશી મિડીયા ઊપર પગલા લેવા જોઇએ",1
રાજકીય દ્વેષ ભાવના અને હલકાઈ,1
ભાઈ ને હપ્તા ચડી ગયા છે એટલે માલ ગોતવા નિકળ્યા છે શિકાર કરવા નીકળયા ને શિકાર થઈ ગયા 😂😂,0
કોંગ્રેસે ઘણી રસી આપી પણ ભાજપ ની જેમ રસી ની જાહેરાત નથી કરી રસી આપીતો નવીનવાય નથી,1
ફેરિયો અને ગરીબ પર સરકારનો સકંજો મજબૂત હોય છે,0
આ ભાઈ આતંકવાદી હોય એવુ વર્તન કરેછે પોલીસ વાળા હવે તો રોડ ઉપર નીકળી વુ હોય તો આ પોલીસ વાળા ભાટે બે પાંચ હજાર રૂપિયા ખીચા મા રાખવા જ એ લોકો ને પણ ઘર ભરવા નો માંડ ચાન્સ મળ્યો છે એટલે ગમે તેમ કરીને આમ જનતા ને લૂંટવા બેઠા છે 😆😆😆,1
ચાંદા ચડી માં ચોદીના અને ચોદીની ભાસ ની ભાન ભૂલી ગયા અને આ લડાઈ ક્યાં પહોંચશે?,1
ફાંસી આપો ફાંસી આપો કોને? આ બધા ને ફાંસી જોઇએ છે ?,1
આ મીડિયા વાળા ને બીજો કોઇ ધધો છે જ નય ગરીબ નિ લાચારી સમજો,0
સુરત સીટી પોલીસ પર હવે પબ્લિક ને ભરોસો છે જ નય કેમ કે સુરત સીટી પોલીસ મા વધારે પડતા અધિકારી ગુંડા બની ગયા છે લોકો ને લૂંટવા મા પહેલો નંબર પણ એ લોકો ને એ ખબર નથી કે જયારે પબ્લિક નુ છટકી જાસે ને ત્યારે કોઈ બાપ નય આવે આડા જે વર્દિ પહેરી છે એનુ તો માન જાળવો નીચના પેટના ઓ,1
હાથી રસ્તા માં જતો હોય ત્યારે કૂત્તી ભોટકી હોય પણ હાથી એની મસ્તી ચક્તો રહે છે😂😂😂😂😂,0
"૨૦૧૭ માં , મુખ્યમંત્રી પટેલ હોય, અડધાથી પણ વધારે કેબિનેટ પટેલ ની હોય આખી સરકાર પટેલ ની હોય ત્યારે તારો ભૂંડ ડફેર એક લાગણીસભર લાગે તેવો મુદ્દો લઈને પટેલ સમાજ ને ઉધા માર્ગે ફક્ત પૈસા બનાવવાની મહત્વકાંક્ષા માટે પાટીદાર ના ૧૪ ભાઈઓ ના જીવ લીધા પટેલ સ્ત્રી મુખ્યમંત્રીને સત્તા છોડવી પડી, સરકાર માં પટેલોનું માન ઘટ્યું આ બધું આપણા સમાજ ને નુકસાન કરનાર અને સમાજના જ પૈસા લુટનાર બોલો તમે સામાન્ય પ્રજાનું શું ભલું કરવાના ?",1
હજારો પશુ રોડે રખડે છે તે માટે સરકારે પગલા ભરવા જોઈએ અને ઘણા લોકોના મૃત્યુ થાય છે,0
"તમે તો બનાવવૌ જ ,,તમારે બીજા ના બાપ ના પૈસે દિવાળી કરવા ની હોય ને",1
ભાજપ વાળા ચોદીનાવ ને કોરોના નથી નડતો,1
શાંતિ રાખજે નકર માજા નય આવે,1
"નિતીનભાઈ તમારે કહેવાની
જરુર નથી ભાજપ
કરતા બંઘાસારા હૉયછે",0
"ડાહી સાસરે ના જાય
અને
ગાડી ને શિખામણ આપે
પોતે ચમકવા તો કેટ કેટલા જૂઠાણા ફેલાવ્યા
જનતા ને ખોટા વચનો આપ્યા
અને હવે બીજા ને શિખામણ 🙏😭",1
કાયદા જનતા માટે જ છે સરકારી કર્મચારી ઓ માટે નય એમને કયા વાઇરસ થાય છે ભાઈ,0
બહાદુર સરદાર સાથેજ સાઈડ મિરર વગર હાઈવે પર ગાડી ચલાવવી કેટલું મુશ્કેલ પડે આવા નપાવટ પોલીસ ને ઘરે બેસાડી દેવા જોઈએ શુ સોગન્દ ખાઈ ને વર્દી પહેરેલી? વિડીઓ ઉતારનાર ને વાઇરલ કરનાર પણ ભડ ના દિકરા બન્ને ને અભિનંદન 🙏,0
  ગદ્દારિસ્તાન તો નય પણ ગુલામીસ્તાન બનાવી ને મૂકી દીધું છે,1
આને કીયા મેનત કરવીછે ગામ પાસે ભીખ માગી લીયે બાકીતો મેનત કરે પછી ખબર પડે કેમ બનાવાય ગાન લાલ થઈ જાય,1
આજ થવું જોઇએ જ્યારે તમે તમારા સ્વાર્થ કે કોઈ બીજા કારણસર કોઈ નો સહારો લૂટી લ્યો તારે,1
જેનો રાજા વેપારી એની પ્રજા ભિખારી,0
"કોરોના તો ગયો પણ માસ્ક નહીં જાય
કારણ કે  મલે સે
એ જવા થોડા દેવાય ભાઇ",1
ભારતમાં સરકારી કર્મચારીઓ પેટ ભરાતુ નથી સરકારી ની ફરવા ગાડી રહેવા સરકારી ઘર બસ ટૈન જાહેર છુટી છતાં ભષટચાર મોટો કાયદો પૈસા ના જોરે ચાલે છે,1
