Tweet,Class
 तुजी अयीच पुच्ची। ,1
 मग महा विकास आघाडी सरकार काय गोट्या खेळत होता ला त्यांना सगळं तपासता ना… ,1
 आता   आम्हाला टाटा समूहाची मूल्यं आवडतात  म्हणून तुमच्याकडे जॉईन झालेला तरुण   फक्त मिडल मॅनेजमेंटच्या दळभद्री… ,0
 ब्रॉड म्हणतो  या इंग्लंडच्या क्रिकेटरला वनडेत तोड नाही ,0
 काय रे भाजपच्या गोटया कशाला खाजवत बसतो  तुला वाटत नाही का तु जास्तच सेफारला आहे आमिरखानच्या बायको बदल काय… ,1
 आज साक्षरता दिवस आहे आजच्या दिवशी तरी तुमची आनी पानी कोळशाची गोनी तुमच्या घालून ठेवा… ,0
 अवधूतदादाचा युट्युब चॅनेल सबस्क्राईब केला का? लावणी येतेय  लावा की फड  चालू करा तिकीटबारी … ,0
 बेड्स मिळत नसल्याने  ?? सगळी जंबो सेंटर फक्त गोट्या खेळायला उभी केली आहेत का ? पासून ,1
 हो का गोट्या चोळ्या भाई  ,1
 कमीत कमी लिंक तर पाहून टाका  पप्पू लाईट 🤣 ,0
 महाराष्ट्राच्या संस्कृतीला शोभेल असे बोल आणि त्या बिनसंस्कृत स्वतःला झाशीची राणी म्हणू… ,0
 हे स्त्री तुझ्या चारित्र्यावर तुझीच स्वाक्षरी असू दे अन्य कोणालाही तो अधिकार देऊ नकोस   ,0
 राज्यात उभारण्यात आलेल्या जम्बो कोविड सेंटरमधील परिस्थितीकडे सरकारचं लक्ष वेधत फडणवीस यांनी सरकारवर टीका के… ,0
 सुशांत बिहार चा रिया बेंगलोर ची कंगना हिमाचल प्रदेश ची आणि भांडण आमच्या महाराष्ट्रात ,0
 स्वीडन विरुद्ध गोल करत आपल्या देशासाठी १०० गोल मारणारा ख्रिस्तीयानो रोनाल्डो बनला जगातील दुसरा खेळाडू या आधी इराणच्या अली… ,0
 व्हायाकॉम१८ ची निर्मिती असणारे काही चित्रपट उद्यापासून नेटफ्लिक्सवर उपलब्ध होतायत ,0
 सर्व त्रास सहन करून पुन्हा उठण्याचा प्रयत्न करत आहे जुने सर्व काही सोडून नवी स्वीकारण्या… ,0
 येवढे दिवस ने काही कारवाई केली नाही आणि आता त्यांनी असे भाष्य केले म्हणून ही कारवाई करण्यात येत आहे हे चुकी… ,0
 पवार समजणे सोपे नाहीये ❤️ आजचा फोटो  साहेब   दादा    ताई ❤️❤️ भाजप वा… ,0
 प्रत्येक आंदोलनाला एक इतिहास व एक भविष्य असते स्वातंत्र्याची लढाई  संयुक्त महाराष्ट्र चळवळ  गोवा मुक्ती संग्राम व… ,0
 चोम्या ते मोराला दाणे घालणाऱ्या बावळट माणसाला शिकव आधी ,1
 उद्धव ठाकरे यांना एकेरी संबोधलं म्हणून हक्कभंग आणल्या जातो मग फडणवीस मुख्यमंत्री असताना त्यांना शरीरावरुन विरोधक टर… ,0
 भारतीय लोकशाही व्यवस्था जगातील सर्वात मोठी लोकशाही म्हणून ओळखली जाते पाश्चिमात्य विचारवंतांनी १९४७… ,0
 च्यायला कसलं  आहे यार हे नमुना  ,1
 उपी चा गांजा मारून आलिये ही रांड ही रांड आणि देशाची घाण ,1
 नाही बिहार मध्ये अशी कुठे न्यु आहे का लै हनायचा एका मंद भक्ताला ,1
  पडायला  शेठ  जबाबदार नाही असं अंडभक्त  म्हणतात पण जर का  वाढला असता तर हेच  गोट्या  सुजेपर्यंत नाचले असते ,1
