text,label
    मोन है क्या आपका तेजस्वी हो या  सब मोन रखे हुए उनकी पार्टी के मुस्लिम लीडरो का कतल हो रहा है ये चुप तमसा देख रहे हे शाबुद्धीन हों या समाजवादी_पार्टी_से_आज़म_खां या   से अतीक सबतमसा देखरहे है,0
"ममता बैनर्जी शर्म करो, हिंसा आगज़नी का खेल बंद करो… _    :///",1
वाकई अगर बंगाल में हिंदुओं को बचाना  या  से नही हो पा रहा है तो सभी  विधायकों को  में शामिल हो जाना चाहिए । कम से कम जिंदा तो रहेंगे बेचारे    ,0
  जब  में हिंदुओं का कत्लेआम हो रहा था तब मोहनदास गांधी भी धरने पर बैठे थे।  अब जरा गोडसे के गुस्से की कल्पना करिए    ,1
"बंगाल में हो रही हत्या,बलात्कार और लूट की जिम्मेदारी किसकी हैं ??  ",0
"  दलित बहुज़नो का सबसे बरा दुश्मन बनिया { वैश्या } है , जो बहुज़नो को हर कदम पर नुक़सान ही करता है दूसरा ब्राह्मण।     करे लाइक के साथ",1
     शुभेंदुअधिकारी नरेंद्र_मोदी_ग्लोबल_पप्पू  :///,0
"सहयोग विदेशों का सफलता इनकी  और असफलता, विपक्षी दलों की    ",0
"केंद्रीय मंत्री वी मुरलीधरण के काफिले पर हमला, बंगाल के पश्चिमी मिडनापुर मे हमला     ",0
महामारी का दौर कांग्रेस के  साल बनाम भाजपा के  साल   :///,0
    मोदी तुम इस्तीफा दो हम तुम्हारे साथ है   __   :///,0
  दोषपूर्ण खेल से चीन नहीं बचेगा।   ,1
_और__दो     ,0
"कुत्ता और बिल्ली तक की गिनती होती है तो पिछड़ों की क्यों नहीं, इनकी असली आबादी से किसको डर है : लालू यादव :///",0
थोड़ा सा इसको समझयेगा 👇  :///,0
एशिया के दो बड़े मुल्क बर्बाद हुए  पहला - चीन गलत खान पान से  दूसरा  - भारत गलत मतदान से   सांसद_लापता_है     आजीवनजेल_जाएगा_तो_मोदी_ही   ,0
"   तंकियों हत्यारों को भर इसने पार्टी बनाई है। दिल्ली की जनता से निवेदन है कि यदि कि यदि अपने देश धर्म के प्रति थोड़ा भी प्रेम ईमानदारी है, तो इस केजरीवाल को उखाड़ फेंको और इसको गिरा गिरा के कुटों।  निर्लज्ज दोगला खानदान का इंसान😡",1
"अलविदा शेर-ए-बिहार…  अल्लाह आपकी मग़फ़िरत फरमाए, आपको जन्नतुल फिरदौस में आला मकाम अता फरमाए और अहले खाना को सब्र जमील अता फरमाए 🤲  :///",0
"_ _ पावर का गलत इस्तेमाल तो गलत हैं ही 🙄लेकिन गलत होता हुआ देख कर भी पावर का इस्तेमाल ""ना"" करना महापाप है साहब🙏 बंगाल_में_राष्ट्रपति_शासन_नहीं_तो_वोट_नही    ",0
 भाजपा का देशव्यापी धरना देख के तृणमूल के गुंडों में डर का माहोल है   ,0
      मंगलयान से लेकर वैक्सीन और सर्जिकल स्ट्राइक तक का अकेले श्रेय लेने वाले नरेंद्र मोदी ऑक्सीजन और इंजेक्शन की कमी से हो रही मौतों के लिये अकेले ज़िम्मेदार हैं।  मोदी ही वो सिस्टम है जो फेल हुआ है। :///,1
"हम आतिशे सोज़ां में भी हक़ बात कहेंगे, कुंदन  की  तरह  दहर  में  ताबिंदा रहेंगे  तारीख़ बताती है कि हर दौर-ए-सितम में, हम ज़िन्दा थे,हम ज़िन्दा हैं,हम ज़िन्दा रहेंगे  ~अज्ञात   :///",0
